,n_clientes,porcentaje,frecuencia_promedio,recencia_promedio,valor_promedio,ticket_promedio,periodo_cliente_dias,num_categorias,tipo_negocio_principal,ciudad_principal,categoria_preferida,distribucion_tipos,nombre,descripcion,grupo_objetivo
0,10,11.76470588235294,18.8,29.6,9553.901000000002,535.639,642.6,2.6,HAMBURGUESERIA,El ALTO,LAMINADO,"{'SALCHIPAPERIA': 3, 'HAMBURGUESERIA': 3, 'RESTAURANTE': 2, 'PUESTO DE MERCADO': 2}",🌱 Negocios Emergentes,Establecimientos nuevos en crecimiento,3
1,40,47.05882352941176,30.575,21.65,29696.764249999997,970.1199999999999,685.3,4.0,FRIAL,El ALTO,BOLITA,"{'FRIAL': 30, 'PUESTO DE MERCADO': 10}",🍽️ Compradores Frecuentes Especializados,Restaurantes con compras regulares y especializadas,1
2,13,15.294117647058824,30.153846153846153,26.384615384615383,51842.97076923077,1709.940769230769,683.7692307692307,2.0,PIZZERIA,El ALTO,BOLITA,{'PIZZERIA': 13},🌟 Compradores Premium de Alto Volumen,Pizzerías establecidas con compras frecuentes y alto volumen,0
3,20,23.52941176470588,21.55,27.9,19275.0595,896.1865,668.75,3.9,PUESTO DE MERCADO,LA PAZ,BARRA,"{'PUESTO DE MERCADO': 13, 'PIZZERIA': 2, 'FRIAL': 2, 'TIENDA': 1, 'MINIMARKET': 1, 'RESTAURANTE': 1}",🏪 Comerciantes Mayoristas,Mercados y tiendas con compras al por mayor,2
4,2,2.3529411764705883,8.5,174.5,12232.265,1457.7150000000001,498.5,2.0,PIZZERIA,CARANAVI,BARRA,{'PIZZERIA': 2},🔄 Compradores Ocasionales,Clientes con compras esporádicas o estacionales,4
